Date,_10Y_Treasury,S_P,STI,month,year
2007-07,4.770999908,1455.27002,3547.659912,7,2007
2010-07,2.907000065,1101.599976,2987.699951,7,2010
1997-07,6.004000187,954.3099976,1967.099976,7,1997
1999-07,5.907000065,1328.719971,2145.77002,7,1999
2019-07,2.020999908,2980.379883,3300.75,7,2019
2002-08,4.137000084,916.0700073,1488.5,8,2002
2014-08,2.342999935,2003.369995,3327.090088,8,2014
2019-08,1.506000042,2926.459961,3106.52002,8,2019
2018-08,2.852999926,2901.52002,3213.47998,8,2018
2021-08,1.30400002,4522.680176,3055.050049,8,2021
1993-08,5.449999809,463.5599976,2008.699951,8,1993
1999-08,5.979000092,1320.410034,2117.169922,8,1999
2020-08,0.6930000186,3500.310059,2532.51001,8,2020
1998-08,5.032000065,957.2800293,856.4299927,8,1998
1994-08,7.164999962,475.4899902,2312.699951,8,1994
1995-08,6.272999763,561.8800049,2146.600098,8,1995
2011-08,2.217999935,1218.890015,2885.26001,8,2011
1991-08,7.820000172,395.4299927,1432.199951,8,1991
2004-08,4.131999969,1104.23999,1918.339966,8,2004
2017-08,2.121000051,2471.649902,3277.26001,8,2017
1992-08,6.619999886,414.0299988,1378.5,8,1992
2022-08,3.132999897,3955,3221.669922,8,2022
2012-08,1.562000036,1406.579956,3025.459961,8,2012
1996-08,6.93599987,651.9899902,2153.5,8,1996
2008-08,3.812999964,1282.829956,2739.949951,8,2008
1990-08,8.859999657,322.5599976,1277.900024,8,1990
2015-08,2.200000048,1972.180054,2921.439941,8,2015
2005-08,4.019999981,1220.329956,2275.429932,8,2005
2007-08,4.537000179,1473.98999,3392.909912,8,2007
2010-08,2.476999998,1049.329956,2950.330078,8,2010
1997-08,6.329999924,899.4699707,1805.599976,8,1997
2001-08,4.815999985,1133.579956,1619.119995,8,2001
2013-08,2.749000072,1632.969971,3028.939941,8,2013
2000-08,5.729000092,1517.680054,2147.77002,8,2000
2016-08,1.567999959,2170.949951,2820.590088,8,2016
2003-08,4.453999996,1008.01001,1599.25,8,2003
2006-08,4.731999874,1303.819946,2482.389893,8,2006
2009-08,3.401000023,1020.619995,2592.899902,8,2009
2013-09,2.61500001,1681.550049,3167.870117,9,2013
1997-09,6.106999874,947.2800293,1954.699951,9,1997
1998-09,4.409999847,1017.01001,939.6500244,9,1998
2000-09,5.777999878,1436.51001,1997.030029,9,2000
2001-09,4.574999809,1040.939941,1319.530029,9,2001
2004-09,4.118999958,1114.579956,1984.73999,9,2004
2015-09,2.059999943,1920.030029,2790.889893,9,2015
2003-09,3.937000036,995.9699707,1630.800049,9,2003
2017-09,2.325999975,2519.360107,3219.909912,9,2017
2009-09,3.306999922,1057.079956,2672.570068,9,2009
1999-09,5.885000229,1282.709961,2021.930054,9,1999
2022-09,3.803999901,3585.620117,3130.23999,9,2022
2021-09,1.529000044,4307.540039,3086.699951,9,2021
2012-09,1.636999965,1440.670044,3060.340088,9,2012
2005-09,4.328000069,1228.810059,2305.139893,9,2005
1996-09,6.698999882,687.3300171,2177.199951,9,1996
2019-09,1.674999952,2976.73999,3119.98999,9,2019
2020-09,0.6769999862,3363,2466.620117,9,2020
1995-09,6.157000065,584.4099731,2120,9,1995
1991-09,7.46999979,387.8599854,1360.599976,9,1991
2010-09,2.51699996,1141.199951,3097.629883,9,2010
1992-09,6.369999886,417.7999878,1351,9,1992
2014-09,2.507999897,1972.290039,3276.73999,9,2014
2007-09,4.578999996,1526.75,3706.22998,9,2007
2016-09,1.60800004,2168.27002,2869.469971,9,2016
1990-09,8.819999695,306.0499878,1098.699951,9,1990
2006-09,4.632999897,1335.849976,2568.860107,9,2006
2002-09,3.607000113,815.2800293,1352.300049,9,2002
2011-09,1.924000025,1131.420044,2675.159912,9,2011
1993-09,5.400000095,458.9299927,2009,9,1993
1994-09,7.598999977,462.7099915,2332.600098,9,1994
2018-09,3.055999994,2913.97998,3257.050049,9,2018
2008-09,3.826999903,1166.359985,2358.909912,9,2008
1994-10,7.793000221,472.3500061,2379,10,1994
2018-10,3.15899992,2711.73999,3018.800049,10,2018
2022-10,4.077000141,3871.97998,3093.110107,10,2022
2011-10,2.174999952,1253.300049,2855.77002,10,2011
1990-10,8.649999619,304,1154,10,1990
1999-10,6.002999783,1362.930054,2047.150024,10,1999
2003-10,4.301000118,1050.709961,1723.709961,10,2003
1996-10,6.348999977,705.2700195,2083.199951,10,1996
1993-10,5.388000011,467.8299866,2102.5,10,1993
2004-10,4.028999805,1130.199951,1980.689941,10,2004
2000-10,5.756999969,1429.400024,1976.540039,10,2000
2019-10,1.690999985,3037.560059,3229.879883,10,2019
2016-10,1.833999991,2126.149902,2813.870117,10,2016
1995-10,6.002999783,581.5,2107.399902,10,1995
2014-10,2.335000038,2018.050049,3274.25,10,2014
2001-10,4.263000011,1059.780029,1367.839966,10,2001
2002-10,3.911000013,885.7600098,1463.369995,10,2002
1997-10,5.818999767,914.6199951,1586.099976,10,1997
2020-10,0.8600000143,3269.959961,2423.840088,10,2020
1991-10,7.46999979,392.4500122,1407.099976,10,1991
2008-10,3.970000029,968.75,1794.199951,10,2008
2013-10,2.542000055,1756.540039,3210.669922,10,2013
2005-10,4.559000015,1207.01001,2216.77002,10,2005
2017-10,2.375999928,2575.26001,3374.080078,10,2017
2021-10,1.557000041,4605.379883,3198.169922,10,2021
2007-10,4.474999905,1549.380005,3805.699951,10,2007
1998-10,4.603000164,1098.670044,1204.619995,10,1998
1992-10,6.800000191,418.6799927,1387,10,1992
2012-10,1.68599999,1412.160034,3038.370117,10,2012
2010-10,2.611999989,1183.26001,3142.620117,10,2010
2009-10,3.39199996,1036.189941,2651.129883,10,2009
2015-10,2.151000023,2079.360107,2998.350098,10,2015
2006-10,4.605999947,1377.939941,2701.75,10,2006
2002-11,4.212999821,936.3099976,1391.530029,11,2002
1996-11,6.039999962,757.0200195,2188.100098,11,1996
2011-11,2.068000078,1246.959961,2702.459961,11,2011
2003-11,4.320000172,1058.199951,1714,11,2003
1990-11,8.260000229,322.2200012,1106.599976,11,1990
2012-11,1.605999947,1416.180054,3069.949951,11,2012
2014-11,2.194000006,2067.560059,3350.5,11,2014
2020-11,0.8439999819,3621.629883,2805.949951,11,2020
2010-11,2.796999931,1180.550049,3144.699951,11,2010
2018-11,3.013000011,2760.169922,3117.610107,11,2018
2017-11,2.417000055,2647.580078,3433.540039,11,2017
1998-11,4.725999832,1163.630005,1416.550049,11,1998
2009-11,3.200999975,1095.630005,2732.120117,11,2009
2004-11,4.357999802,1173.819946,2027.660034,11,2004
1992-11,6.949999809,431.3500061,1469.099976,11,1992
2006-11,4.458000183,1400.630005,2838.530029,11,2006
2005-11,4.5,1249.47998,2300.25,11,2005
2022-11,3.703000069,4080.110107,3290.48999,11,2022
2021-11,1.442999959,4567,3041.290039,11,2021
2019-11,1.776000023,3140.97998,3193.919922,11,2019
1999-11,6.163000107,1388.910034,2237.129883,11,1999
1993-11,5.795000076,461.7900085,2096.100098,11,1993
1995-11,5.744999886,605.3699951,2128.100098,11,1995
2008-11,2.957000017,896.2399902,1732.569946,11,2008
2015-11,2.217999935,2080.409912,2855.939941,11,2015
2016-11,2.368000031,2198.810059,2905.169922,11,2016
1997-11,5.850999832,955.4000244,1660.599976,11,1997
1991-11,7.380000114,375.2200012,1453.199951,11,1991
2000-11,5.43900013,1314.949951,1952.22998,11,2000
2001-11,4.743999958,1139.449951,1478.540039,11,2001
2013-11,2.740999937,1805.810059,3176.350098,11,2013
1994-11,7.888000011,453.6900024,2242.100098,11,1994
2007-11,3.971999884,1481.140015,3521.27002,11,2007
1990-12,8.079999924,330.2200012,1154.800049,12,1990
1999-12,6.434999943,1469.25,2479.580078,12,1999
1992-12,6.699999809,435.7099915,1524.400024,12,1992
2017-12,2.404999971,2673.610107,3402.919922,12,2017
2004-12,4.21600008,1211.920044,2066.139893,12,2004
2016-12,2.446000099,2238.830078,2880.76001,12,2016
2014-12,2.170000076,2058.899902,3365.149902,12,2014
1991-12,6.710000038,417.0899963,1477,12,1991
2013-12,3.026000023,1848.359985,3167.429932,12,2013
1996-12,6.407000065,740.7399902,2216.800049,12,1996
2002-12,3.818000078,879.8200073,1341.030029,12,2002
2018-12,2.686000109,2506.850098,3068.76001,12,2018
1998-12,4.638000011,1229.22998,1392.72998,12,1998
2001-12,5.032000065,1148.079956,1623.599976,12,2001
1995-12,5.574999809,615.9299927,2266.5,12,1995
2006-12,4.710000038,1418.300049,2985.830078,12,2006
2005-12,4.394999981,1248.290039,2347.340088,12,2005
2020-12,0.9169999957,3756.070068,2843.810059,12,2020
2021-12,1.511999965,4766.180176,3123.679932,12,2021
2000-12,5.110000134,1320.280029,1926.829956,12,2000
2009-12,3.842999935,1115.099976,2879.76001,12,2009
2019-12,1.91900003,3230.780029,3222.830078,12,2019
2015-12,2.269000053,2043.939941,2882.72998,12,2015
2011-12,1.871000051,1257.599976,2646.350098,12,2011
1994-12,7.827000141,459.269989,2239.600098,12,1994
1993-12,5.782999992,466.4500122,2425.699951,12,1993
2003-12,4.256999969,1111.920044,1764.52002,12,2003
2008-12,2.243999958,903.25,1761.560059,12,2008
2007-12,4.034999847,1468.359985,3482.300049,12,2007
2022-12,3.878999949,3839.5,3251.320068,12,2022
1997-12,5.738999844,970.4299927,1529.800049,12,1997
2010-12,3.305000067,1257.640015,3190.040039,12,2010
2012-12,1.756000042,1426.189941,3167.080078,12,2012
